county,n_features,elapsed_s,output_path
Dunn,0,0.01,
Dunn,0,0.01,
Duplin,0,0.01,
Durham,0,0.01,
Dutchess,0,0.01,
Duval,0,0.01,
Duval,0,0.01,
Dyer,0,0.01,
Eagle,0,0.01,
Early,0,0.01,
East Baton Rouge,0,0.01,
East Carroll,0,0.01,
East Feliciana,0,0.01,
Eastland,0,0.01,
Eaton,0,0.01,
Eau Claire,0,0.01,
Echols,0,0.01,
Ector,0,0.01,
Eddy,0,0.01,
Eddy,0,0.01,
Edgar,0,0.01,
Edgecombe,0,0.01,
Edgefield,0,0.01,
Edmonson,0,0.01,
Edmunds,0,0.01,
Edwards,0,0.01,
Edwards,0,0.01,
Edwards,0,0.01,
Effingham,0,0.01,
Effingham,0,0.01,
El Dorado,1644,0.06,Y:\personal\mcallahan\Business\WattsonWater\DATA\Hydrography\County_NHD\El_Dorado\El_Dorado_waterbodies.shp
El Paso,0,0.01,
El Paso,0,0.01,
Elbert,0,0.01,
Elbert,0,0.01,
Elk,0,0.01,
Elk,0,0.01,
Elkhart,0,0.01,
Elko,0,0.01,
Elliott,0,0.01,
Ellis,0,0.01,
Ellis,0,0.01,
Ellis,0,0.01,
Ellsworth,0,0.01,
Elmore,0,0.01,
Elmore,0,0.01,
Emanuel,0,0.01,
Emery,0,0.01,
Emmet,0,0.01,
Emmet,0,0.01,
Emmons,0,0.01,
Emporia,0,0.01,
Erath,0,0.01,
Erie,0,0.01,
Erie,0,0.01,
Erie,0,0.01,
Escambia,0,0.01,
Escambia,0,0.01,
Esmeralda,1,0.01,Y:\personal\mcallahan\Business\WattsonWater\DATA\Hydrography\County_NHD\Esmeralda\Esmeralda_waterbodies.shp
Essex,0,0.01,
Essex,0,0.01,
Essex,0,0.01,
Essex,0,0.01,
Essex,0,0.01,
Estill,0,0.01,
Etowah,0,0.01,
Eureka,0,0.01,
Evangeline,0,0.01,
Evans,0,0.01,
Fairbanks North Star,0,0.01,
Fairfax,0,0.01,
Fairfax,0,0.01,
Fairfield,0,0.01,
Fairfield,0,0.01,
Fairfield,0,0.01,
Fajardo,0,0.01,
Fall River,0,0.01,
Fallon,0,0.02,
Falls,0,0.01,
Falls Church,0,0.01,
Fannin,0,0.01,
Fannin,0,0.01,
Faribault,0,0.02,
Faulk,0,0.01,
Faulkner,0,0.01,
Fauquier,0,0.01,
Fayette,0,0.01,
Fayette,0,0.01,
Fayette,0,0.01,
Fayette,0,0.01,
Fayette,0,0.01,
Fayette,0,0.01,
Fayette,0,0.01,
Fayette,0,0.01,
Fayette,0,0.01,
Fayette,0,0.01,
Fayette,0,0.01,
Fentress,0,0.01,
Fergus,0,0.01,
Ferry,0,0.01,
Fillmore,0,0.01,
Fillmore,0,0.01,
Finney,0,0.01,
